Date,Name,Icon,Meal,Quantity,Units,Calories,Deleted,Fat (g),Protein (g),Carbohydrates (g),Saturated Fat (g),Sugars (g),Fiber (g),Cholesterol (mg),Sodium (mg)
08/04/2016,Calories,Calories,Evening Snacks,4.0,Each,40,0,0,0,0,0,0,0,0,0
08/05/2016,Calories,Calories,Breakfast,26.0,Each,260,0,0,0,0,0,0,0,0,0
08/05/2016,Calories,Calories,Lunch,30.0,Each,300,0,0,0,0,0,0,0,0,0
08/05/2016,"Bar, Granola, Oat's 'N Honey",CerealBar,Evening Snacks,2.0,Pieces,190,0,6,4,29,0.50,12,2,0,160
08/05/2016,Snickers minis,Chocolate,Evening Snacks,1.0,Serving,43,0,2,1,5,n/a,n/a,n/a,n/a,n/a
08/05/2016,Reduced Fat,Cheese,Evening Snacks,32.0,Pieces,130,0,4,4,20,0,0,0.50,0,230
08/05/2016,Calories,Calories,Dinner,48.0,Each,480,0,0,0,0,0,0,0,0,0
08/05/2016,Calories,Calories,Dinner,18.0,Each,180,0,0,0,0,0,0,0,0,0
08/05/2016,Calories,Calories,Evening Snacks,4.0,Each,40,1,0,0,0,0,0,0,0,0
08/05/2016,Popsicle,Popsicle,Evening Snacks,1.0,Each,40,0,0,0,10,n/a,8,n/a,n/a,0
08/05/2016,Klondike Bar Original,IceCreamBar,Evening Snacks,0.5,Piece,125,0,7,1.50,14.50,n/a,11.50,n/a,n/a,35
08/06/2016,"Egg, Large, Hard-Boiled",Egg,Breakfast,2.0,Each,140,0,21.20,25.20,2.40,n/a,n/a,n/a,n/a,248
08/06/2016,"Bacon, Cooked",Bacon,Breakfast,2.0,Pieces,87,0,6.68,5.93,0.23,2.20,0,0,17.60,369.60
08/06/2016,Calories,Calories,Breakfast,12.5,Each,125,0,0,0,0,0,0,0,0,0
08/06/2016,Calories,Calories,Evening Snacks,23.0,Each,230,0,0,0,0,0,0,0,0,0
08/06/2016,Calories,Calories,Evening Snacks,1.5,Each,15,0,0,0,0,0,0,0,0,0
08/06/2016,Popsicle,Popsicle,Evening Snacks,1.0,Each,40,0,0,0,10,n/a,8,n/a,n/a,0
08/06/2016,Toast & Peanut Butter Crackers,Cracker,Evening Snacks,1.0,Package,190,0,9,4,23,1.50,5,1,0,300
08/06/2016,Calories,Calories,Evening Snacks,1.0,Each,10,0,0,0,0,0,0,0,0,0
08/06/2016,Potato,Potato,Evening Snacks,245.0,Grams,180,1,0,4.90,42.47,0,4.90,3.27,0,16.33
08/06/2016,Potato,Potato,Dinner,245.0,Grams,180,0,0,4.90,42.47,0,4.90,3.27,0,16.33
08/06/2016,Fish/ Marinated White Fish Vera Cruz,Fish,Dinner,0.5,Package,180,0,9,22,4,4,2,0,70,900
08/06/2016,"Oil, Vegetable",Oil,Dinner,1.0,Tablespoon,120,0,14,0,0,2,0,0,0,0
08/06/2016,"Wine, White",WineWhite,Dinner,5.0,Fluid ounces,120,0,n/a,n/a,3,n/a,n/a,n/a,n/a,n/a
08/06/2016,Calories,Calories,Dinner,1.0,Each,10,0,0,0,0,0,0,0,0,0
08/06/2016,Calories,Calories,Evening Snacks,22.5,Each,225,0,0,0,0,0,0,0,0,0
08/06/2016,Reduced Fat,Cheese,Evening Snacks,16.0,Pieces,65,0,2,2,10,0,0,0.25,0,115
08/07/2016,Calories,Calories,Breakfast,47.5,Each,475,0,0,0,0,0,0,0,0,0
08/07/2016,Calories,Calories,Evening Snacks,6.5,Each,65,0,0,0,0,0,0,0,0,0
08/07/2016,Calories,Calories,Lunch,27.5,Each,275,0,0,0,0,0,0,0,0,0
08/07/2016,Reduced Fat,Cheese,Evening Snacks,16.0,Pieces,65,0,2,2,10,0,0,0.25,0,115
08/07/2016,Calories,Calories,Dinner,53.8,Each,538,0,0,0,0,0,0,0,0,0
08/07/2016,Carona Light Beer,Beer,Dinner,355.0,Milliliters,99,0,n/a,n/a,5,n/a,n/a,n/a,n/a,n/a
08/07/2016,Calories,Calories,Evening Snacks,10.0,Each,100,0,0,0,0,0,0,0,0,0
08/07/2016,Calories,Calories,Evening Snacks,10.0,Each,100,0,0,0,0,0,0,0,0,0
08/08/2016,Calories,Calories,Lunch,31.0,Each,310,0,0,0,0,0,0,0,0,0
08/08/2016,Cheddar Rocket Crackers,Cracker,Evening Snacks,1.0,Serving,140,0,5,n/a,n/a,n/a,n/a,n/a,n/a,n/a
08/08/2016,Calories,Calories,Breakfast,46.0,Each,460,0,0,0,0,0,0,0,0,0
08/08/2016,Calories,Calories,Breakfast,2.0,Each,20,0,0,0,0,0,0,0,0,0
08/08/2016,Calories,Calories,Evening Snacks,58.6,Each,586,0,0,0,0,0,0,0,0,0
08/08/2016,Calories,Calories,Evening Snacks,13.5,Each,135,0,0,0,0,0,0,0,0,0
08/08/2016,Calories,Calories,Evening Snacks,10.0,Each,100,0,0,0,0,0,0,0,0,0
08/09/2016,Calories,Calories,Breakfast,16.0,Each,160,0,0,0,0,0,0,0,0,0
08/09/2016,Reduced Fat,Cheese,Evening Snacks,32.0,Pieces,130,0,4,4,20,0,0,0.50,0,230
08/09/2016,Calories,Calories,Breakfast,2.5,Each,25,0,0,0,0,0,0,0,0,0
08/09/2016,"Taco, chicken, soft",Taco,Lunch,2.0,Each,520,0,18,38,54,7,2,6,90,860
08/09/2016,Calories,Calories,Dinner,95.0,Each,950,0,0,0,0,0,0,0,0,0
08/09/2016,Calories,Calories,Dinner,12.5,Each,125,0,0,0,0,0,0,0,0,0
08/10/2016,Calories,Calories,Evening Snacks,17.0,Each,170,1,0,0,0,0,0,0,0,0
08/10/2016,Calories,Calories,Breakfast,17.0,Each,170,0,0,0,0,0,0,0,0,0
08/10/2016,Calories,Calories,Breakfast,2.5,Each,25,0,0,0,0,0,0,0,0,0
08/10/2016,Toast & Peanut Butter Crackers,Cracker,Evening Snacks,1.0,Package,190,0,9,4,23,1.50,5,1,0,300
08/10/2016,Calories,Calories,Lunch,47.0,Each,470,0,0,0,0,0,0,0,0,0
08/10/2016,"Snack, Chex Mix, Bold Party Blend",Snack,Evening Snacks,68.0,Milliliters,80,0,3.45,1.72,11.50,0.57,1.15,1.15,0,224.19
08/10/2016,Potato,Potato,Dinner,115.0,Grams,52,0,0,1.41,12.20,0,1.41,0.94,0,4.69
08/10/2016,"Oil, Vegetable",Oil,Dinner,0.333,Tablespoon,40,0,4.66,0,0,0.67,0,0,0,0
08/10/2016,Calories,Calories,Dinner,12.8,Each,128,0,0,0,0,0,0,0,0,0
08/10/2016,"Wine, White",WineWhite,Dinner,5.0,Fluid ounces,121,0,0,0.10,3.82,0,1.41,0,0,7.35
08/10/2016,Calories,Calories,Dinner,6.0,Each,60,0,0,0,0,0,0,0,0,0
08/10/2016,Calories,Calories,Evening Snacks,5.0,Each,50,0,0,0,0,0,0,0,0,0
08/10/2016,"Ice Cream Bar, Original",IceCreamBar,Evening Snacks,0.5,Each,125,0,7,1,14,5.50,11.50,0,5,35
08/10/2016,Carona Light Beer,Beer,Evening Snacks,355.0,Milliliters,99,0,n/a,n/a,5,n/a,n/a,n/a,n/a,n/a
08/10/2016,Chex Mix,Snack,Evening Snacks,0.5,Cup,120,0,3.50,2,21,2.50,2,1,10,280
08/10/2016,Calories,Calories,Evening Snacks,9.0,Each,90,0,0,0,0,0,0,0,0,0
08/11/2016,Calories,Calories,Breakfast,17.0,Each,170,0,0,0,0,0,0,0,0,0
08/11/2016,Calories,Calories,Breakfast,2.5,Each,25,0,0,0,0,0,0,0,0,0
08/11/2016,Calories,Calories,Lunch,75.0,Each,750,0,0,0,0,0,0,0,0,0
08/11/2016,Calories,Calories,Evening Snacks,16.0,Each,160,0,0,0,0,0,0,0,0,0
08/11/2016,"Apple, Small",Apple,Evening Snacks,1.0,Each,77,0,0.25,0.39,20.58,0.3,15.48,3.58,0,1.49
08/11/2016,Calories,Calories,Dinner,49.0,Each,490,0,0,0,0,0,0,0,0,0
08/11/2016,"Wine, Red",WineRed,Evening Snacks,5.0,Fluid ounces,125,1,0,0.10,3.84,0,0.91,0,0,5.88
08/11/2016,Calories,Calories,Dinner,16.0,Each,160,0,0,0,0,0,0,0,0,0
08/11/2016,Calories,Calories,Evening Snacks,5.0,Each,50,0,0,0,0,0,0,0,0,0
08/11/2016,Calories,Calories,Evening Snacks,6.1,Each,61,0,0,0,0,0,0,0,0,0
08/12/2016,Toast & Peanut Butter Crackers,Cracker,Breakfast,1.0,Package,190,0,9,4,23,1.50,5,1,0,300
08/12/2016,Calories,Calories,Breakfast,2.5,Each,25,0,0,0,0,0,0,0,0,0
08/12/2016,"Taco, chicken, soft",Taco,Lunch,2.0,Each,520,0,18,38,54,7,2,6,90,860
08/12/2016,Reduced Fat,Cheese,Evening Snacks,32.0,Pieces,130,0,4,4,20,0,0,0.50,0,230
08/12/2016,Calories,Calories,Dinner,70.0,Each,700,0,0,0,0,0,0,0,0,0
08/12/2016,Calories,Calories,Dinner,21.0,Each,210,0,0,0,0,0,0,0,0,0
08/12/2016,Carona Light Beer,Beer,Evening Snacks,355.0,Milliliters,99,0,n/a,n/a,5,n/a,n/a,n/a,n/a,n/a
08/13/2016,Calories,Calories,Breakfast,34.0,Each,340,0,0,0,0,0,0,0,0,0
08/13/2016,Calories,Calories,Breakfast,2.5,Each,25,0,0,0,0,0,0,0,0,0
08/13/2016,Calories,Calories,Lunch,45.1,Each,451,0,0,0,0,0,0,0,0,0
08/13/2016,Calories,Calories,Evening Snacks,18.0,Each,180,0,0,0,0,0,0,0,0,0
08/13/2016,Calories,Calories,Evening Snacks,10.8,Each,108,0,0,0,0,0,0,0,0,0
08/13/2016,Chex Mix,Snack,Evening Snacks,0.25,Cup,60,0,1.75,1,10.50,1.25,1,0.50,5,140
08/13/2016,Popsicle,Popsicle,Evening Snacks,1.0,Each,40,0,0,0,10,n/a,8,n/a,n/a,0
08/13/2016,Calories,Calories,Dinner,80.0,Each,800,0,0,0,0,0,0,0,0,0
08/13/2016,Klondike Bar Original,IceCreamBar,Evening Snacks,1.0,Piece,250,0,14,3,29,n/a,23,n/a,n/a,70
08/14/2016,Chocolate Frosted Raised Ring,Donut,Breakfast,1.0,Serving,480,0,24,6,63,9,26,n/a,n/a,n/a
08/14/2016,Calories,Calories,Breakfast,3.0,Each,30,0,0,0,0,0,0,0,0,0
08/14/2016,Calories,Calories,Lunch,28.6,Each,286,0,0,0,0,0,0,0,0,0
08/14/2016,"Bread, Rye",Toast,Lunch,30.0,Grams,77,0,0.99,2.55,14.49,0.19,1.16,1.74,0,198
08/14/2016,Calories,Calories,Evening Snacks,10.0,Each,100,1,0,0,0,0,0,0,0,0
08/14/2016,Calories,Calories,Evening Snacks,15.0,Each,150,0,0,0,0,0,0,0,0,0
08/14/2016,Chex Mix,Snack,Evening Snacks,16.0,Teaspoons,80,0,2.33,1.33,14,1.67,1.33,0.67,6.67,186.67
08/14/2016,Calories,Calories,Dinner,63.0,Each,630,0,0,0,0,0,0,0,0,0
08/14/2016,Calories,Calories,Dinner,1.5,Each,15,0,0,0,0,0,0,0,0,0
08/14/2016,Carona Light Beer,Beer,Dinner,355.0,Milliliters,99,0,n/a,n/a,5,n/a,n/a,n/a,n/a,n/a
08/14/2016,Chex Mix,Snack,Dinner,12.0,Teaspoons,60,0,1.75,1,10.50,1.25,1,0.50,5,140
08/14/2016,Calories,Calories,Evening Snacks,30.0,Each,300,0,0,0,0,0,0,0,0,0
08/14/2016,Calories,Calories,Evening Snacks,3.0,Each,30,0,0,0,0,0,0,0,0,0
08/15/2016,Chocolatey Chip Waffles,Waffles,Breakfast,2.0,Pieces,200,0,7,4,31,2.50,9,1,15,370
08/15/2016,Calories,Calories,Lunch,60.0,Each,600,1,0,0,0,0,0,0,0,0
08/15/2016,Calories,Calories,Breakfast,3.0,Each,30,0,0,0,0,0,0,0,0,0
08/15/2016,Calories,Calories,Dinner,36.0,Each,360,0,0,0,0,0,0,0,0,0
08/15/2016,Carona Light Beer,Beer,Dinner,355.0,Milliliters,99,0,n/a,n/a,5,n/a,n/a,n/a,n/a,n/a
08/15/2016,Calories,Calories,Dinner,15.0,Each,150,1,0,0,0,0,0,0,0,0
08/15/2016,Calories,Calories,Dinner,11.0,Each,110,0,0,0,0,0,0,0,0,0
08/15/2016,Calories,Calories,Lunch,80.0,Each,800,0,0,0,0,0,0,0,0,0
08/15/2016,Calories,Calories,Evening Snacks,4.0,Each,40,0,0,0,0,0,0,0,0,0
08/15/2016,Calories,Calories,Evening Snacks,6.0,Each,60,0,0,0,0,0,0,0,0,0
08/15/2016,Chex Mix,Snack,Evening Snacks,20.0,Teaspoons,100,0,2.92,1.67,17.50,2.8,1.67,0.83,8.33,233.33
08/15/2016,Popsicle,Popsicle,Evening Snacks,1.0,Each,40,0,0,0,10,n/a,8,n/a,n/a,0
08/15/2016,Popsicle,Popsicle,Evening Snacks,1.0,Each,40,0,0,0,10,n/a,8,n/a,n/a,0
08/16/2016,Chocolatey Chip Waffles,Waffles,Breakfast,2.0,Pieces,200,0,7,4,31,2.50,9,1,15,370
08/16/2016,Calories,Calories,Breakfast,3.0,Each,30,0,0,0,0,0,0,0,0,0
08/16/2016,"Taco, beef, soft",Taco,Lunch,2.0,Each,560,0,22,36,56,10,2,8,60,1180
08/16/2016,Toast & Peanut Butter Crackers,Cracker,Evening Snacks,1.0,Package,190,0,9,4,23,1.50,5,1,0,300
08/16/2016,Calories,Calories,Dinner,65.5,Each,655,0,0,0,0,0,0,0,0,0
08/16/2016,Calories,Calories,Evening Snacks,8.0,Each,80,0,0,0,0,0,0,0,0,0
08/16/2016,Popsicle,Popsicle,Evening Snacks,1.0,Each,40,0,0,0,10,n/a,8,n/a,n/a,0
08/16/2016,Popsicle,Popsicle,Evening Snacks,1.0,Each,40,0,0,0,10,n/a,8,n/a,n/a,0
08/16/2016,Popsicle,Popsicle,Evening Snacks,1.0,Each,40,0,0,0,10,n/a,8,n/a,n/a,0
08/17/2016,Calories,Calories,Breakfast,14.0,Each,140,0,0,0,0,0,0,0,0,0
08/17/2016,Meatball Thin-cut Multigrain,Sandwich,Breakfast,1.0,Serving,580,1,32,35,44,n/a,n/a,n/a,108,1148
08/17/2016,Meatball Thin-cut Multigrain,Sandwich,Lunch,1.0,Serving,580,0,32,35,44,n/a,n/a,n/a,108,1148
08/17/2016,Toast & Peanut Butter Crackers,Cracker,Evening Snacks,1.0,Package,190,0,9,4,23,1.50,5,1,0,300
08/17/2016,Calories,Calories,Dinner,54.5,Each,545,0,0,0,0,0,0,0,0,0
08/17/2016,Cheddar Rocket Crackers,Cracker,Evening Snacks,1.0,Serving,140,0,5,n/a,n/a,n/a,n/a,n/a,n/a,n/a
08/17/2016,Calories,Calories,Evening Snacks,6.5,Each,65,0,0,0,0,0,0,0,0,0
08/17/2016,Chex Mix,Snack,Evening Snacks,24.0,Teaspoons,120,0,3.50,2,21,2.50,2,1,10,280
08/17/2016,Popsicle,Popsicle,Evening Snacks,1.0,Each,40,0,0,0,10,n/a,8,n/a,n/a,0
08/17/2016,Popsicle,Popsicle,Evening Snacks,1.0,Each,40,0,0,0,10,n/a,8,n/a,n/a,0
08/18/2016,Calories,Calories,Breakfast,17.0,Each,170,0,0,0,0,0,0,0,0,0
08/18/2016,Calories,Calories,Lunch,62.5,Each,625,0,0,0,0,0,0,0,0,0
08/18/2016,Toast & Peanut Butter Crackers,Cracker,Evening Snacks,1.0,Package,190,0,9,4,23,1.50,5,1,0,300
08/18/2016,Potato,Potato,Dinner,121.5,Grams,55,0,0,1.49,12.89,0,1.49,0.99,0,4.96
08/18/2016,"Oil, Vegetable",Oil,Dinner,0.5,Tablespoon,60,0,7,0,0,1,0,0,0,0
08/18/2016,Calories,Calories,Dinner,35.0,Each,350,0,0,0,0,0,0,0,0,0
08/18/2016,Carona Light Beer,Beer,Dinner,355.0,Milliliters,99,0,n/a,n/a,5,n/a,n/a,n/a,n/a,n/a
08/18/2016,Calories,Calories,Evening Snacks,8.0,Each,80,0,0,0,0,0,0,0,0,0
08/18/2016,Red Wine Glass,WineRed,Evening Snacks,1.0,Serving,150,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
08/18/2016,Calories,Calories,Evening Snacks,4.4,Each,44,0,0,0,0,0,0,0,0,0
08/19/2016,Calories,Calories,Breakfast,17.0,Each,170,0,0,0,0,0,0,0,0,0
08/19/2016,Toast & Peanut Butter Crackers,Cracker,Breakfast,1.0,Package,190,1,9,4,23,1.50,5,1,0,300
08/19/2016,Toast & Peanut Butter Crackers,Cracker,Evening Snacks,1.0,Package,190,0,9,4,23,1.50,5,1,0,300
08/19/2016,Calories,Calories,Lunch,50.0,Each,500,0,0,0,0,0,0,0,0,0
08/19/2016,Calories,Calories,Breakfast,2.5,Each,25,0,0,0,0,0,0,0,0,0
08/19/2016,Calories,Calories,Dinner,17.0,Each,170,0,0,0,0,0,0,0,0,0
08/19/2016,Calories,Calories,Evening Snacks,60.0,Each,600,0,0,0,0,0,0,0,0,0
08/19/2016,Carona Light Beer,Beer,Evening Snacks,355.0,Milliliters,99,0,n/a,n/a,5,n/a,n/a,n/a,n/a,n/a
08/20/2016,Calories,Calories,Breakfast,34.0,Each,340,0,0,0,0,0,0,0,0,0
08/20/2016,"Bread, Rye",Toast,Breakfast,28.0,Grams,72,0,0.92,2.38,13.52,0.17,1.8,1.62,0,184.80
08/20/2016,Calories,Calories,Breakfast,4.0,Each,40,0,0,0,0,0,0,0,0,0
08/20/2016,Chex Mix,Snack,Evening Snacks,22.0,Teaspoons,110,0,3.21,1.83,19.25,2.29,1.83,0.92,9.17,256.67
08/20/2016,Calories,Calories,Lunch,27.0,Each,270,0,0,0,0,0,0,0,0,0
08/20/2016,"Peach, Medium",Peach,Evening Snacks,160.0,Grams,62,0,0.40,1.46,15.26,0.2,13.42,2.40,0,0
08/20/2016,Calories,Calories,Dinner,65.0,Each,650,0,0,0,0,0,0,0,0,0
08/20/2016,Red Wine Glass,WineRed,Dinner,1.0,Serving,150,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
08/20/2016,Calories,Calories,Evening Snacks,8.0,Each,80,0,0,0,0,0,0,0,0,0
08/20/2016,Carona Light Beer,Beer,Evening Snacks,355.0,Milliliters,99,0,n/a,n/a,5,n/a,n/a,n/a,n/a,n/a
08/20/2016,Chex Mix,Snack,Evening Snacks,24.0,Teaspoons,120,0,3.50,2,21,2.50,2,1,10,280
08/20/2016,Popsicle,Popsicle,Evening Snacks,1.0,Each,40,0,0,0,10,n/a,8,n/a,n/a,0
08/20/2016,Calories,Calories,Evening Snacks,3.0,Each,30,0,0,0,0,0,0,0,0,0
08/21/2016,Calories,Calories,Breakfast,90.0,Each,900,0,0,0,0,0,0,0,0,0
08/21/2016,Calories,Calories,Evening Snacks,22.0,Each,220,0,0,0,0,0,0,0,0,0
08/21/2016,Calories,Calories,Evening Snacks,10.0,Each,100,0,0,0,0,0,0,0,0,0
08/21/2016,Calories,Calories,Dinner,75.0,Each,750,0,0,0,0,0,0,0,0,0
08/21/2016,Calories,Calories,Dinner,15.0,Each,150,0,0,0,0,0,0,0,0,0
08/22/2016,Chocolatey Chip Waffles,Waffles,Breakfast,2.0,Pieces,200,0,7,4,31,2.50,9,1,15,370
08/22/2016,Calories,Calories,Lunch,100.0,Each,"1,000",0,0,0,0,0,0,0,0,0
08/22/2016,Calories,Calories,Dinner,50.0,Each,500,0,0,0,0,0,0,0,0,0
08/22/2016,Calories,Calories,Dinner,15.0,Each,150,0,0,0,0,0,0,0,0,0
08/22/2016,Calories,Calories,Dinner,8.0,Each,80,0,0,0,0,0,0,0,0,0
08/22/2016,Calories,Calories,Evening Snacks,6.0,Each,60,0,0,0,0,0,0,0,0,0
08/22/2016,Calories,Calories,Evening Snacks,60.0,Each,600,0,0,0,0,0,0,0,0,0
08/23/2016,This Apple Walks Into A Bar,Bar,Breakfast,1.0,Serving,140,0,2.50,2,27,0,17,n/a,0,90
08/23/2016,Calories,Calories,Breakfast,20.0,Each,200,0,0,0,0,0,0,0,0,0
08/23/2016,Calories,Calories,Lunch,100.0,Each,"1,000",0,0,0,0,0,0,0,0,0
08/23/2016,Calories,Calories,Evening Snacks,80.0,Each,800,0,0,0,0,0,0,0,0,0
08/23/2016,Calories,Calories,Dinner,100.0,Each,"1,000",0,0,0,0,0,0,0,0,0
